Depth (km), Temperature (K)
4.106844741235394025e+01,8.906122214449421790e+02
4.006677796327205954e+01,8.816009868051272633e+02
3.906510851419029962e+01,8.708332501860362527e+02
3.806343906510853969e+01,8.597851204428084202e+02
3.706176961602666609e+01,8.485764560299437562e+02
3.606010016694490616e+01,8.372072569474444208e+02
3.505843071786313914e+01,8.256775231953092771e+02
3.405676126878126553e+01,8.139872547735369608e+02
3.305509181969950561e+01,8.021364516821303141e+02
3.205342237061774568e+01,7.901251139210877454e+02
3.105175292153586497e+01,7.779532414904080042e+02
3.005008347245410505e+01,7.656208343900938189e+02
2.904841402337222789e+01,7.531278926201424611e+02
2.804674457429046797e+01,7.404744161805567728e+02
2.704507512520870804e+01,7.276604050713350489e+02
2.604340567612683088e+01,7.146858592924762661e+02
2.504173622704506741e+01,7.015507788439830392e+02
2.404006677796330749e+01,6.882551637258541177e+02
2.303839732888143033e+01,6.747990139380876826e+02
2.203672787979967040e+01,6.611823294806871445e+02
2.103505843071791048e+01,6.474051103536506844e+02
2.003338898163602977e+01,6.334673565569769380e+02
1.903171953255426985e+01,6.192565600430324366e+02
